eps,optimize,average_bound_width
0.0,False,0.0
0.0,True,0.0
0.001,False,0.3347499999999998
0.001,True,0.3182299999999999
0.002,False,0.80983
0.002,True,0.7398
0.003,False,1.53762
0.003,True,1.3274000000000001
0.004,False,2.5295
0.004,True,2.07521
0.005,False,3.71575
0.005,True,3.0387
0.006,False,5.1026
0.006,True,4.1391
0.007,False,6.81617
0.007,True,5.464080000000001
0.008,False,8.746289999999998
0.008,True,6.939
0.009,False,10.87264
0.009,True,8.75112
0.01,False,13.67641
0.01,True,10.64162
